"353650 PAULINIA";-;1;3;4;1;-;-;1;7;1;18
"353700 PEDREGULHO";-;-;-;-;-;-;-;-;-;1;1
"353710 PEDREIRA";-;-;2;-;-;-;-;-;-;-;2
"353760 PERUIBE";-;-;-;-;-;-;-;-;3;-;3
"353790 PILAR DO SUL";-;-;1;-;-;-;-;-;-;-;1
"353800 PINDAMONHANGABA";-;1;3;4;-;1;-;1;1;-;11
"353810 PINDORAMA";-;-;2;-;-;-;-;-;-;-;2
"353870 PIRACICABA";-;-;3;2;-;-;-;-;20;-;25
"353880 PIRAJU";-;-;-;-;-;-;-;-;1;-;1
"353930 PIRASSUNUNGA";-;-;-;-;-;-;-;-;3;-;3
"353950 PITANGUEIRAS";-;-;-;1;-;-;-;-;-;-;1
"354000 POMPEIA";-;-;-;-;-;-;-;-;2;-;2
"354020 PONTAL";-;-;-;-;-;-;-;-;-;1;1
"354070 PORTO FERREIRA";-;-;-;-;-;-;-;-;4;-;4
"354090 PRADOPOLIS";-;-;-;-;-;-;-;-;1;-;1
"354100 PRAIA GRANDE";-;-;-;-;-;-;-;-;2;-;2
"354140 PRESIDENTE PRUDENTE";-;-;5;1;-;1;-;-;2;-;9
"354240 REGENTE FEIJO";-;-;-;1;-;-;-;-;-;-;1
"354250 REGINOPOLIS";-;-;1;-;-;-;-;-;-;-;1
"354260 REGISTRO";-;1;5;1;-;-;-;-;-;-;7
"354330 RIBEIRAO PIRES";-;-;-;-;-;-;-;-;1;-;1
"354340 RIBEIRAO PRETO";-;1;12;17;2;-;-;-;88;2;122
"354390 RIO CLARO";-;-;1;-;-;-;-;-;1;-;2
"354420 RIOLANDIA";-;-;1;-;-;-;-;-;-;-;1
"354425 ROSANA";-;-;-;-;-;-;-;-;-;1;1
"354480 SALES";-;-;-;-;-;-;-;-;1;-;1
"354520 SALTO";-;-;-;1;-;-;-;-;4;-;5
"354550 SANDOVALINA";-;-;-;-;-;1;-;-;-;-;1
"354580 SANTA BARBARA D'OESTE";-;-;1;-;-;-;-;-;4;-;5
"354650 SANTA ERNESTINA";-;-;1;-;-;-;-;-;1;-;2
"354710 SANTA MERCEDES";-;-;-;-;-;-;-;-;1;-;1
"354730 SANTANA DE PARNAIBA";-;-;-;-;-;-;-;-;4;-;4
"354760 SANTA ROSA DE VITERBO";-;-;-;-;-;-;-;-;3;-;3
"354780 SANTO ANDRE";-;-;-;2;-;-;-;2;6;1;11
"354820 SANTO ANTONIO DO PINHAL";-;-;-;-;-;-;1;-;-;-;1
"354850 SANTOS";-;-;2;-;-;-;-;-;6;-;8
"354870 SAO BERNARDO DO CAMPO";-;-;11;1;-;-;-;-;11;-;23
"354880 SAO CAETANO DO SUL";-;-;3;1;-;-;-;-;10;-;14
"354890 SAO CARLOS";-;-;-;2;-;-;-;1;8;-;11
"354910 SAO JOAO DA BOA VISTA";-;-;-;-;-;-;-;-;17;-;17
"354940 SAO JOAQUIM DA BARRA";-;-;-;-;-;-;-;-;1;-;1
"354960 SAO JOSE DO BARREIRO";-;-;-;-;-;-;-;-;1;-;1
"354980 SAO JOSE DO RIO PRETO";-;-;14;-;-;-;-;-;7;-;21
"354990 SAO JOSE DOS CAMPOS";-;-;14;7;1;-;1;-;18;2;43
"355030 SAO PAULO";-;22;124;22;15;6;2;17;843;21;1072
"355040 SAO PEDRO";-;-;-;-;-;-;-;1;1;-;2
"355050 SAO PEDRO DO TURVO";-;-;-;1;-;-;-;-;-;-;1
"355060 SAO ROQUE";-;-;-;-;-;2;-;-;-;-;2
"355070 SAO SEBASTIAO";-;-;-;-;-;-;-;-;1;-;1
"355090 SAO SIMAO";-;-;-;1;-;-;-;-;-;-;1
"355100 SAO VICENTE";-;-;2;1;-;-;-;-;4;-;7
"355150 SERRANA";-;1;1;-;-;-;-;-;1;-;3
"355160 SERRA NEGRA";-;1;1;-;-;-;-;-;-;-;2
"355170 SERTAOZINHO";-;-;11;1;-;-;-;-;8;-;20
"355180 SETE BARRAS";-;1;-;-;-;-;-;-;-;-;1
"355220 SOROCABA";-;1;10;6;4;2;-;6;85;-;114
"355240 SUMARE";-;-;2;1;-;-;-;-;6;-;9
"355250 SUZANO";-;-;3;-;-;-;-;-;-;-;3
"355280 TABOAO DA SERRA";-;1;-;2;-;-;-;-;1;-;4
"355400 TATUI";-;-;1;1;-;-;-;-;1;-;3
"355410 TAUBATE";-;-;8;-;2;1;-;1;5;1;18
"355500 TUPA";-;-;1;-;-;-;-;-;-;-;1
"355510 TUPI PAULISTA";-;-;-;-;-;-;-;-;1;-;1
"355540 UBATUBA";-;-;-;-;-;-;-;-;1;-;1
"355610 VALENTIM GENTIL";-;-;1;-;-;-;-;-;-;-;1
"355620 VALINHOS";1;-;3;-;-;-;-;-;12;1;17
"355630 VALPARAISO";-;-;1;-;-;-;-;-;-;-;1
"355670 VINHEDO";-;-;-;-;-;-;-;-;5;-;5
"355700 VOTORANTIM";-;-;-;-;-;-;-;-;1;-;1
"355710 VOTUPORANGA";-;-;3;-;-;-;-;-;-;-;3
"Total";1;54;465;177;40;19;18;53;1591;62;2480
 Fonte: Ministério da Saúde/SVSA - Sistema de Informação de Agravos de Notificação - Sinan Net
 
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para tabular dados epidemiológicos de um determinado ano selecione na linha a variável de interesse, na Coluna Ano dos 1ºs sintomas;
  em Períodos Disponíveis assinale o ano inicial da série e todos os posteriores até o ano atual (p/ incluir casos notificados com atraso)
  e em Seleções Disponíveis assinale os anos dos 1ºs sintomas (ex: nº de casos com início de sintomas 2007: selecione na linha UF de residência,
  na Coluna Ano de 1ºs sintomas, em Períodos disponíveis 2007 até o ano atual e em Seleções assinale Ano de 1ºs sintomas 2007).
 Para cálculo da incidência utilize locais de residência.
 Dados de 2007 a 2017 atualizados em 01/07/2019.
 Dados de 2018 atualizados em 08/02/2023, realizada uma validação dos dados.
 Dados de 2019 atualizados em 08/03/2023, realizada uma validação dos dados.
 Dados de 2020 atualizados em 08/02/2023, realizada uma validação dos dados.
 Dados de 2021 atualizados em 04/01/2024, dados sujeitos à revisão.
 Dados de 2022 atualizados em 04/03/2024, dados sujeitos à revisão.
 Dados de 2023 atualizados em 25/10/2024, dados sujeitos à revisão.
 Dados de 2024 atualizados em 14/02/2025, dados sujeitos à revisão.
 Dados de 2025 atualizados em 14/02/2025, dados sujeitos à revisão.
 Foram confirmados casos de Coqueluche no Estado do Espírito Santo (e-SUS VS) nos anos de 2020 (6), 2022 (1), 2023 (7) e 2024 (152) e 2025 (28), dados sujeitos à revisão.
 *Dados disponibilizados no TABNET em fevereiro de 2025.
 
